,Line number,Station number,marked,Datetime,time stamp (ms),conductivity (mS/m)
1026,0,0.0,0,2025-01-24 13:57:43.866730,82355753,20.4775
1027,0,0.0,0,2025-01-24 13:57:43.866919,82355942,20.4775
1028,0,0.0,0,2025-01-24 13:57:43.867107,82356130,20.4775
1029,0,0.0,0,2025-01-24 13:57:43.867296,82356319,20.4775
1030,0,0.0,0,2025-01-24 13:57:43.867484,82356507,20.4775
1031,0,0.0,0,2025-01-24 13:57:43.867673,82356696,20.4775
1032,0,0.0,0,2025-01-24 13:57:43.867861,82356884,20.4775
1033,0,0.0,0,2025-01-24 13:57:43.919672,82408695,20.4775
1034,0,0.0,0,2025-01-24 13:57:43.919860,82408883,20.4775
1035,0,0.0,0,2025-01-24 13:57:43.920049,82409072,20.4775
1036,0,0.0,0,2025-01-24 13:57:43.920238,82409261,20.4775
1037,0,0.0,0,2025-01-24 13:57:43.920427,82409450,20.4775
1038,0,0.0,0,2025-01-24 13:57:43.920616,82409639,20.4775
1039,0,0.0,0,2025-01-24 13:57:43.920805,82409828,20.4775
1040,0,0.0,0,2025-01-24 13:57:43.920994,82410017,20.4775
1041,0,0.0,0,2025-01-24 13:57:43.921183,82410206,20.4775
1042,0,0.0,0,2025-01-24 13:57:43.921372,82410395,20.4775
1043,0,0.0,0,2025-01-24 13:57:43.921561,82410584,20.4775
1044,0,0.0,0,2025-01-24 13:57:43.921750,82410773,20.4775
1045,0,0.0,0,2025-01-24 13:57:43.921939,82410962,20.4775
1046,0,0.0,0,2025-01-24 13:57:43.922127,82411150,20.4775
1047,0,0.0,0,2025-01-24 13:57:43.922316,82411339,20.4775
1048,0,0.0,0,2025-01-24 13:57:43.922505,82411528,20.4775
1049,0,0.0,0,2025-01-24 13:57:43.922694,82411717,20.4775
1050,0,0.0,0,2025-01-24 13:57:43.922883,82411906,20.4775
1051,0,0.0,0,2025-01-24 13:57:43.923072,82412095,20.4775
1052,0,0.0,0,2025-01-24 13:57:43.923261,82412284,20.4775
1053,0,0.0,0,2025-01-24 13:57:43.923450,82412473,20.4775
1054,0,0.0,0,2025-01-24 13:57:43.923639,82412662,20.4775
1055,0,0.0,0,2025-01-24 13:57:43.923828,82412851,20.4775
1056,0,0.0,0,2025-01-24 13:57:43.924017,82413040,20.4775
1057,0,0.0,0,2025-01-24 13:57:43.924206,82413229,20.4775
1058,0,0.0,0,2025-01-24 13:57:43.924395,82413418,20.4775
1059,0,0.0,0,2025-01-24 13:57:43.924584,82413607,20.4775
1060,0,0.0,0,2025-01-24 13:57:43.924773,82413796,20.4775
1061,0,0.0,0,2025-01-24 13:57:43.924961,82413984,20.4775
1062,0,0.0,0,2025-01-24 13:57:43.925150,82414173,20.4775
1063,0,0.0,0,2025-01-24 13:57:43.925339,82414362,20.4775
1064,0,0.0,0,2025-01-24 13:57:43.925528,82414551,20.4775
1065,0,0.0,0,2025-01-24 13:57:43.925717,82414740,20.4775
1066,0,0.0,0,2025-01-24 13:57:43.925906,82414929,20.4775
1067,0,0.0,0,2025-01-24 13:57:43.926095,82415118,20.4775
1068,0,0.0,0,2025-01-24 13:57:43.926284,82415307,20.4775
1069,0,0.0,0,2025-01-24 13:57:43.926473,82415496,20.4775
1070,0,0.0,0,2025-01-24 13:57:43.926662,82415685,20.4775
1071,0,0.0,0,2025-01-24 13:57:43.926851,82415874,20.4775
1072,0,0.0,0,2025-01-24 13:57:43.927040,82416063,20.4775
1073,0,0.0,0,2025-01-24 13:57:43.927229,82416252,20.4775
1074,0,0.0,0,2025-01-24 13:57:43.927417,82416440,20.4775
1075,0,0.0,0,2025-01-24 13:57:43.927606,82416629,20.4775
1076,0,0.0,0,2025-01-24 13:57:43.927795,82416818,20.4775
1077,0,0.0,0,2025-01-24 13:57:43.927984,82417007,20.4775
1078,0,0.0,0,2025-01-24 13:57:43.928173,82417196,20.4775
1079,0,0.0,0,2025-01-24 13:57:43.928362,82417385,20.4775
1080,0,0.0,0,2025-01-24 13:57:43.928551,82417574,20.4775
1081,0,0.0,0,2025-01-24 13:57:43.928740,82417763,20.4775
1082,0,0.0,0,2025-01-24 13:57:43.928929,82417952,20.4775
1083,0,0.0,0,2025-01-24 13:57:43.929118,82418141,20.4775
1084,0,0.0,0,2025-01-24 13:57:43.929307,82418330,20.4775
1085,0,0.0,0,2025-01-24 13:57:43.929496,82418519,20.4775
1086,0,0.0,0,2025-01-24 13:57:43.929685,82418708,20.4775
1087,0,0.0,0,2025-01-24 13:57:43.929873,82418896,20.4775
1088,0,0.0,0,2025-01-24 13:57:43.930062,82419085,20.4775
1089,0,0.0,0,2025-01-24 13:57:43.930251,82419274,20.4775
1090,0,0.0,0,2025-01-24 13:57:43.930440,82419463,20.4775
1091,0,0.0,0,2025-01-24 13:57:43.930629,82419652,20.4775
1092,0,0.0,0,2025-01-24 13:57:43.930818,82419841,20.4775
1093,0,0.0,0,2025-01-24 13:57:43.931007,82420030,20.4775
1094,0,0.0,0,2025-01-24 13:57:43.931196,82420219,20.4775
1095,0,0.0,0,2025-01-24 13:57:43.931385,82420408,20.4775
1096,0,0.0,0,2025-01-24 13:57:43.931574,82420597,20.4775
1097,0,0.0,0,2025-01-24 13:57:43.931763,82420786,20.4775
1098,0,0.0,0,2025-01-24 13:57:43.931951,82420974,20.4775
1099,0,0.0,0,2025-01-24 13:57:43.932140,82421163,20.4775
1100,0,0.0,0,2025-01-24 13:57:43.932329,82421352,20.4775
1101,0,0.0,0,2025-01-24 13:57:43.932518,82421541,20.4775
1102,0,0.0,0,2025-01-24 13:57:43.932707,82421730,20.4775
1103,0,0.0,0,2025-01-24 13:57:43.932896,82421919,20.4775
